FDI,Property Time,Cost Procedures,Business Time,Business Procedure,Tribute Time,Government Spending,Exchange,Inflation,gdp_pc,Unemployment,Tax Burden,Diversity,Quality,Shadow Economy,Autocracy,Closed Anocracy,Democracy,Dem. Full,Dem. Interregnum,Dem. Interruption,Open Anocracy,Dem. Transition
17.6948460131618,31.5,5.4,25.0,8.0,170.0,18.7447920696102,100.733254061926,2.22117586707647,46915.3374004507,4.909,50.3,1.5993285,1.01,7.69,0,0,0,1,0,0,0,0
1.45842274091571,31.5,5.1,25.0,8.0,170.0,19.2721309580265,102.073682731706,1.95632228093217,51919.9835754226,4.198,51.1939,1.5148768,1.01,7.78,0,0,0,1,0,0,0,0
3.55936613543504,31.5,5.1,25.0,8.0,170.0,20.6842134754264,87.0622309742796,1.88926417785875,48153.3240199631,5.371,49.9144,1.5641875,1.02,9.65,0,0,0,1,0,0,0,0
-5.61017631479876,20.5,5.2,25.0,8.0,170.0,20.4925476679965,99.0197962369563,0.873054962177932,46903.7615854343,4.883,51.2,1.6430012,1.01,9.07,0,0,0,1,0,0,0,0
5.32423673714992,20.5,5.2,25.0,8.0,170.0,19.89656808887,105.102788629725,1.83341024455663,51442.2762464407,4.637,50.3,1.6065305,1.02,8.47,0,0,0,1,0,0,0,0
1.27469393348716,20.5,4.9,25.0,8.0,170.0,19.8606923693557,105.152177427838,2.05423568508493,48564.9173350875,4.909,50.5,1.5947686,1.03,8.4,0,0,0,1,0,0,0,0
0.104862185985247,20.5,4.8,25.0,8.0,166.0,19.9159427520344,104.066414086373,1.62388806972808,50731.1272541847,5.367,51.1,1.5788687,1.03,8.679999999999998,0,0,0,1,0,0,0,0
0.386858115054066,20.5,5.5,22.0,8.0,131.0,19.8028420386289,103.503535251069,2.17570723682326,51786.3771747905,5.674,51.0,1.6036071,1.02,8.39,0,0,0,1,0,0,0,0
54.3650509070362,59.0,14.4,121.0,13.0,447.3,12.9000492368291,121.507115894117,9.25196510735844,1045.0136328106,7.99,78.3,4.7883792,0.66,52.45,1,0,0,0,0,0,0,0
33.7957978256418,59.0,12.3,113.0,13.0,756.0,10.4220403274107,115.841884607706,14.7234965182528,1578.36733030667,7.26,79.2,4.9778614,0.7,50.01,1,0,0,0,0,0,0,0
21.380140470442,59.0,9.3,51.0,13.0,1000.0,8.53986407912003,105.262399846369,11.3012191438311,2472.95725732287,6.62,80.0,5.6122217,0.65,48.02,1,0,0,0,0,0,0,0
13.9011034961161,52.0,6.9,36.0,12.0,952.0,9.66026692054089,96.6418081486575,21.0293287543152,3851.33015175141,6.33,80.8,5.6780424,0.65,45.32,1,0,0,0,0,0,0,0
8.1611083168233,10.0,4.3,10.0,6.0,376.0,8.49511176664042,89.2428968637573,27.777459536561,5574.46810432575,5.86,80.35,5.8373384,0.64,43.7,1,0,0,0,0,0,0,0
6.54746236391725,10.0,2.9,10.0,6.0,376.0,11.1234077215848,74.7440416836369,-18.8449572890202,4950.39949009423,5.74,79.7416,5.8379779,0.63,44.82,1,0,0,0,0,0,0,0
6.337255132933,10.0,3.1,8.0,6.0,165.0,10.8814317673378,74.9859884610856,13.5458167908374,5843.5337683582,5.63,79.5,5.9008827,0.62,44.2,1,0,0,0,0,0,0,0
6.80050011965746,10.0,2.7,8.0,6.0,225.0,10.1276832686917,80.5080450059522,22.524361140543,7189.81869211976,5.42,83.9,6.0555224,0.65,43.71,1,0,0,0,0,0,0,0
7.59651867931835,10.0,2.3,8.0,6.0,214.0,10.5259600648111,78.263069540422,2.88293295403217,7495.86527658099,5.19,84.9,5.9602041,0.66,43.3,1,0,0,0,0,0,0,0
3.53211598676051,10.0,1.0,7.0,3.0,214.0,10.2832491148465,74.6758447629851,0.445064509020867,7875.34536661549,4.97,85.5,5.9521561,0.6,42.26,1,0,0,0,0,0,0,0
5.88846176710651,8.5,3.1,5.5,4.0,195.0,10.8858730371216,69.4832251953347,-1.28499552026639,7890.84028062087,4.91,88.1,6.0129099,0.63,42.15,1,0,0,0,0,0,0,0
0.00488285714415742,104.0,181.4,13.0,8.0,200.7,19.2272662954525,31.5761181816532,13.1461593314354,128.538422519456,2.130333333333333,71.82776666666666,4.4635925,0.26,39.75,0,0,0,0,0,0,0,1
0.0523404213217611,104.0,190.2,13.0,8.0,140.0,14.099999668941,35.0999988412936,18.8415894769233,151.188541005904,2.130333333333333,71.82776666666666,5.4528461,0.24,38.08,0,0,1,0,0,0,0,0
0.00248110542789526,104.0,213.8,13.0,8.0,140.0,15.2,42.4,2.84566633376673,166.276245228761,3.185,70.1,3.4513924,0.29,35.96,0,0,1,0,0,0,0,0
0.0368858073302621,104.0,241.2,13.0,8.0,140.0,19.0000006815559,38.7999987731993,8.27337562886336,170.706876502428,2.130333333333333,70.1,4.1221805,0.34,38.89,0,0,1,0,0,0,0,0
0.237816296916252,94.0,206.7,13.0,8.0,140.0,20.200001151146,47.1999995814015,24.2157937434401,194.710634644444,1.634,72.0775,3.8497088,0.3,38.23,0,0,1,0,0,0,0,0
0.0195573004772572,94.0,145.7,13.0,8.0,140.0,19.7000012320278,35.8000035591914,10.4587965254196,204.544755595219,2.130333333333333,72.4724,4.635016,0.31,37.95,0,0,1,0,0,0,0,0
0.0384119130803943,94.0,124.3,13.0,8.0,211.0,21.9000002798828,39.5000053977394,8.56155516425477,222.660583208376,2.130333333333333,72.2,4.7304459,0.38,38.64,0,0,1,0,0,0,0,0
0.150056711459471,94.0,116.8,13.0,8.0,274.0,22.900000496536,43.0000028373483,8.36425019828808,236.451347486235,2.130333333333333,72.3,4.7706451,0.36,37.86,0,0,1,0,0,0,0,0
0.025925039024225,64.0,18.3,7.0,4.0,274.0,23.2998242944295,43.7053731916201,14.294071682425,238.205945258781,2.130333333333333,72.2,4.5411172,0.37,37.04,0,0,1,0,0,0,0,0
4.76125064193514,26.0,17.5,5.0,3.0,274.0,24.700169522601,46.6040790867655,7.9531039994456,241.547665709857,2.130333333333333,71.5,4.1199841,0.49,36.93,0,0,1,0,0,0,0,0
3.02120263415233,23.0,13.4,5.0,3.0,274.0,25.9000061887709,42.995025805263,5.30565602774391,257.818557410131,1.572,73.5,3.4443107,0.5,36.25,0,0,1,0,0,0,0,0
12.0521106747569,132.0,11.3,34.0,6.0,144.3,22.1972126513166,136.918405348432,1.91499094831144,35429.4077933344,7.363,43.1,1.6840348,1.01,21.12,0,0,0,1,0,0,0,0
8.72717720186463,132.0,11.1,34.0,6.0,156.0,22.093997631255,144.529050669983,2.08307421275387,36809.7013403619,8.44,42.1,1.6663401,1.01,21.11,0,0,0,1,0,0,0,0
