"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Belarus","913","Export Diversification Index","total_theil","Value","0","2.4876657","2.3545451","2.2638602","2.2310424","4.1135035","4.1155453","4.6127","4.3541646","4.3865957","4.460413","4.3431692","4.2593269","4.2949729","3.9099581","2.3349452","3.9701009","4.0288749","2.4796271","4.3125768","4.5108581","3.0174379","2.5976846","2.6670167",
"Belgium-Luxembourg","126","Export Diversification Index","total_theil","Value","1.4505612","1.4473618","1.5623184","1.5522639","1.5268947","1.5489234","1.5570331","1.5154995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Belize","339","Export Diversification Index","total_theil","Value","3.9275014","3.7817683","3.5228972","3.9107492","3.9554846","3.8357992","3.9963241","3.7543938","3.5667264","3.7816017","3.4930356","3.4924695","3.6508224","3.5714943","3.5772529","3.4704041","3.4552021","2.2743156","2.5383465","3.9548769","3.1165669","3.6972356","3.6138473","3.5481238",
"Montserrat","351","Export Diversification Index","total_theil","Value","3.6028476","3.6547763","3.7061415","4.6676216","4.6087384","5.1568522","4.770669","3.5875423","3.035398","3.2128496","3.5419958","3.2241194","3.7196448","3.2794945","3.6864576","2.9718726","3.1570318","3.7777538","3.6797655","3.504575","3.2771876","3.4912655","3.5069706","3.7089961",
"Mauritius","684","Export Diversification Index","total_theil","Value","3.8420396","3.9031515","3.8985729","3.8876801","3.7720578","3.8094687","3.877212","3.8922362","3.9565475","3.8644409","3.7393172","3.7033036","3.6570594","3.418154","3.165741","3.2266746","3.2269888","3.1157901","3.0547805","3.3603075","3.4036384","3.4288709","3.4645331","3.370065",
"Saudi Arabia","456","Export Diversification Index","total_theil","Value","5.4449115","5.4902205","5.2956214","5.0141168","4.9127502","4.916409","5.0166125","4.498539","4.8236361","5.2095785","5.1538606","5.2416463","5.1553702","5.319509","5.3406916","5.3820348","5.2717137","5.4510617","5.472909","5.1218405","5.2039976","5.3214097","5.2703838","5.3057327",
"Sudan","732","Export Diversification Index","total_theil","Value","4.1105342","3.4872828","3.5762875","3.8243668","3.581347","3.534936","3.4464633","3.3893991","3.2420738","4.9750175","5.1670508","5.0693111","5.2185235","5.414896","5.6979556","5.7593732","5.919776","5.991323","5.9731431","5.7956986","5.8101401","0","0","0",
"Israel","436","Export Diversification Index","total_theil","Value","2.6442988","2.6213739","2.7093582","2.697618","2.6650822","2.7053397","2.7442327","2.7143395","2.8445573","2.8008306","2.7277236","2.8238196","2.7745497","2.7647815","2.8129947","2.7827787","2.7854519","2.693682","2.5904455","2.6468508","2.7402856","2.7044771","2.7179749","2.6519833",
"Italy","136","Export Diversification Index","total_theil","Value","1.4270144","1.4103585","1.3844038","1.4073793","1.410753","1.4305559","1.4197179","1.4248285","1.4492794","1.4727912","1.4500339","1.4424548","1.4540201","1.4447824","1.4226735","1.4249902","1.4467578","1.440475","1.4721498","1.582546","1.5642862","1.5937809","1.5848124","1.5763007",
"Jamaica","343","Export Diversification Index","total_theil","Value","3.9659052","3.8082609","3.9051437","4.0376921","4.0466933","3.9659147","4.0729332","4.1327977","4.0460677","4.0345588","4.1975641","4.1327972","4.1343365","4.4134903","4.5124888","4.5274696","4.4265871","4.5284257","3.7702844","3.7582901","4.0918083","4.0121365","4.1942434","4.241694",
